step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
690.0,18,243.0,5.4,4.3617522476385036,18,436.0,0.18840870553975458,18,436.0,False,,
695.0,16,279.0,6.065217391304348,4.853068245414064,16,456.0,0.20798499480550042,16,456.0,False,,
700.0,20,294.0,6.681818181818182,3.9136976839374924,20,461.0,0.13695041804600297,20,461.0,False,,
705.0,25,407.0,9.465116279069768,3.0024135317291605,25,576.0,0.1468189149631246,25,576.0,False,,
710.0,27,501.0,11.651162790697674,1.8446904455357014,27,673.0,0.08182881230099441,27,673.0,False,,
715.0,22,579.0,12.866666666666667,4.194374781545653,22,733.0,0.20580626609588054,22,733.0,False,,
720.0,19,501.0,11.133333333333333,3.7453887979653597,19,725.0,0.11291494786123454,19,725.0,False,,
725.0,17,504.0,9.882352941176471,5.675677012514611,17,674.0,0.33339735239130786,17,674.0,False,,
730.0,22,229.0,4.673469387755102,3.075504063131817,22,609.0,0.12732956301744366,22,609.0,False,,
735.0,28,212.0,4.0,4.359795923373798,28,446.0,0.1759287480454061,28,446.0,False,,
740.0,27,242.0,4.938775510204081,3.073117776184987,27,529.0,0.07549167293525474,27,529.0,False,,
745.0,26,234.0,4.68,3.882104890736066,26,573.0,0.17921260081951024,26,573.0,False,,
750.0,20,272.0,5.666666666666667,4.6556922298101195,20,592.0,0.17132005864114183,20,592.0,False,,
755.0,14,212.0,4.326530612244898,4.689721778318277,14,566.0,0.2092413639638819,14,566.0,False,,
760.0,15,208.0,4.333333333333333,5.153596592885083,15,511.0,0.28199067018276713,15,511.0,False,,
765.0,18,255.0,5.1,4.577191206410091,18,532.0,0.22907179853588797,18,532.0,False,,
770.0,22,317.0,6.469387755102041,4.035572656641266,22,545.0,0.12900265117970466,22,545.0,False,,
775.0,16,205.0,4.183673469387755,4.538718264316582,16,502.0,0.22047510597167097,16,502.0,False,,
780.0,18,222.0,5.162790697674419,3.581353928705352,18,417.0,0.136145944722152,18,417.0,False,,
785.0,21,281.0,5.854166666666667,4.330477995324364,21,446.0,0.17116640961468266,21,446.0,False,,
790.0,19,328.0,7.454545454545454,3.760963981017984,19,461.0,0.06989003982664534,19,461.0,False,,
795.0,15,362.0,6.830188679245283,6.031839826911265,15,505.0,0.347494104663755,15,505.0,False,,
800.0,19,447.0,9.122448979591837,4.992692438984503,19,561.0,0.2530483378070128,19,561.0,False,,
805.0,23,514.0,10.28,3.486512856167101,23,635.0,0.19813425099024412,23,635.0,False,,
