step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
160.0,123,1988.0,7.024734982332156,5.032354285229704,17,412.0,0.2383833269964938,8,557.0,0.306847841238896,2,14.0,0.3440343865776563,0,15.0,0.8631485866452943,21,1861.0,0.09827892743065077,1,27.0,0.2571641839687881,0,2.0,0.7737738627165298,3,10.0,0.007242559215136462,0,4.0,0.8952980677792584,7,87.0,0.34701304187359017,33,1364.0,0.08639830250473014,1,1.0,0.49324532090263584,0,0.0,0.761874572431997,0,0.0,0.8701913173931365,29,1186.0,0.18688367070274936,1,60.0,0.4198542435309661,123,5600.0
165.0,125,2295.0,8.080985915492958,4.924132574106823,11,312.0,0.2480932779575643,3,566.0,0.36616337055713094,0,4.0,0.8527086362637889,1,3.0,0.3113793110655775,27,1979.0,0.06344896252965142,0,5.0,0.6240641790146828,0,6.0,0.7783522344551151,0,12.0,0.36108729617622287,0,4.0,0.930469889801825,7,122.0,0.3434369589416701,35,1534.0,0.02927574061906041,1,8.0,0.14124896719740282,0,0.0,0.9776555159695406,1,4.0,0.6482441771505733,33,1344.0,0.1650246262007867,6,17.0,0.11790905193399576,125,5920.0
170.0,130,2762.0,9.829181494661922,4.997116191662946,6,345.0,0.27211486655476,8,596.0,0.24091038120256322,0,4.0,0.871004089113556,1,9.0,0.2472734906313029,33,2133.0,0.12821175987352582,0,4.0,0.5238843295768222,0,8.0,0.8921088672629138,0,0.0,0.932593223888896,2,7.0,0.5612658436443309,7,157.0,0.2850207424076121,36,1715.0,0.01035860867830874,0,4.0,0.8387892327605031,0,0.0,0.9796286999167944,0,0.0,0.8015074046235747,36,1519.0,0.1137184046167386,1,27.0,0.19704216875324557,130,6528.0
175.0,140,3262.0,11.861818181818181,4.81163557807376,8,374.0,0.279136616059301,15,655.0,0.16462451011405418,2,6.0,0.48604820042650715,0,3.0,0.9402909232531786,36,2309.0,0.20122351220259282,0,2.0,0.8486287804635374,0,4.0,0.8922975143511417,0,0.0,0.8267756903751944,6,29.0,0.3889797353638077,1,111.0,0.4567456562546631,36,1897.0,0.12604567709705497,0,4.0,0.890878664391657,0,0.0,0.5441931496982878,0,0.0,0.9644030688908259,36,1699.0,0.02664894059802309,0,7.0,0.7531020954454971,140,7100.0
180.0,154,3863.0,14.15018315018315,4.222540047073392,15,437.0,0.16807669773482994,17,589.0,0.13919552854294695,7,27.0,0.11134860363064339,0,3.0,0.9332835185059821,36,2489.0,0.12605037652758147,0,2.0,0.776848638590727,1,2.0,0.7232681716565261,3,6.0,0.4394769566316628,0,28.0,0.502550501678497,1,26.0,0.5698603500002781,36,2076.0,0.1572567600743756,0,0.0,0.8072231116041129,2,8.0,0.5831525311409547,0,0.0,0.29180946649404643,36,1879.0,2.4943219279219285e-07,0,3.0,0.9778775719576768,154,7575.0
185.0,150,4235.0,14.911971830985916,4.345301402621239,21,529.0,0.1645148327662099,9,417.0,0.24547709245884036,7,64.0,0.04702795951825391,0,0.0,0.7572825002590785,36,2669.0,0.05115768005476725,1,4.0,0.47266994457968564,2,12.0,0.6732630850654879,3,18.0,0.32907490583527005,2,10.0,0.7048498030248613,0,4.0,0.739372268658537,36,2254.0,0.11228099310066149,0,0.0,1.0,0,0.0,0.3762965907298755,3,14.0,0.17492474849925707,30,1849.0,0.08728270807762256,0,2.0,0.8451126850093853,150,7846.0
190.0,127,3897.0,13.673684210526316,4.942250760527815,26,654.0,0.18426960976349993,5,195.0,0.3812625212954289,1,59.0,0.5137388501007802,0,8.0,0.45436075483684735,36,2849.0,1.7064792812726324e-07,1,8.0,0.45894550296471587,0,0.0,0.3714483650241667,5,24.0,0.4610066339438638,0,8.0,0.7467978834951987,0,4.0,0.9164599239861975,31,2209.0,0.0753566652396742,0,4.0,0.4553691757913664,0,4.0,0.4377013532027916,0,10.0,0.7682521015846854,22,1603.0,0.1780202019574581,0,4.0,0.8504011059568783,127,7643.0
195.0,115,3064.0,10.750877192982456,5.220965213240376,28,790.0,0.12856222650652616,3,189.0,0.31948851321329397,0,4.0,0.9002228753956182,0,8.0,0.8740102506873854,30,2745.0,0.0475401255355938,0,4.0,0.6951390850523654,4,12.0,0.006003481208249788,5,47.0,0.50341812399589,1,6.0,0.6488849853504587,2,8.0,0.43475837701632414,26,1954.0,0.13277453915219292,0,8.0,0.7078940669455707,0,4.0,0.8492752891838605,0,2.0,0.9142497311583531,16,1693.0,0.14758144600686013,0,4.0,0.9353052109905382,115,7478.0
200.0,103,2190.0,7.684210526315789,5.341868053401597,30,937.0,0.1324279106877807,6,191.0,0.2972244178623743,0,0.0,0.8093616657932516,0,4.0,0.9159769924423627,23,2369.0,0.19089267534632848,0,4.0,0.8642583538762221,1,21.0,0.2754618390191747,5,72.0,0.1998988060984008,1,4.0,0.4052627289011249,6,32.0,0.37497085970224436,16,1941.0,0.19344658379115195,0,8.0,0.8660072312811711,0,4.0,0.911564680818281,0,0.0,0.8851643886433411,13,1771.0,0.09956030422495304,2,7.0,0.2202139621346506,103,7365.0
205.0,102,1536.0,5.333333333333333,5.268156716566064,26,947.0,0.1490537838582496,10,236.0,0.27726928968662934,0,0.0,0.8659268919694888,1,2.0,0.5978709482995206,18,2467.0,0.1779473562950106,0,2.0,0.8688428727716546,0,4.0,0.8850594798186577,7,100.0,0.2462378919906127,3,10.0,0.4203871112534666,1,31.0,0.6309581493404668,13,1999.0,0.1993840270021413,2,10.0,0.6363605729566926,0,0.0,0.5654471630553743,0,0.0,0.9509159515776001,15,1843.0,0.21076101072745224,6,29.0,0.0005990943069168399,102,7680.0
